sample_id,b1_mae,b1_rmse,b1_d1,b1_px,b2_mae,b2_rmse,b2_d1,b2_px,b3_mae,b3_rmse,b3_d1,b3_px,b4_mae,b4_rmse,b4_d1,b4_px,b5_mae,b5_rmse,b5_d1,b5_px,b6_mae,b6_rmse,b6_d1,b6_px,all_mae,all_rmse,all_d1,all_px
environment_1/02721,1.65604,1.978254,0.067274,7908,0.915604,1.984172,0.741764,24284,1.00737,1.297245,0.788988,14838,2.207768,2.7527,0.644453,7428,4.484412,5.221526,0.356881,7630,9.409552,10.44145,0.010979,4281,2.12713,3.646622,0.569679,66369
environment_1/02722,1.63574,2.972836,0.431864,12974,0.879798,1.288159,0.611371,8777,0.630401,1.204156,0.884386,13052,1.903816,2.699184,0.593367,8986,2.813746,4.180523,0.684239,7322,8.48804,9.790004,0.256735,7498,2.36355,4.253207,0.593407,58609
environment_1/02723,0.286717,0.333673,0.950081,2484,0.344755,0.621746,0.919488,26406,0.679557,0.940629,0.88606,17123,2.070357,2.462155,0.475292,10604,4.504888,5.144074,0.238678,11283,8.962075,9.42671,0.042405,7735,2.162441,3.771481,0.65939,75635
environment_1/02724,0.613117,0.823712,0.518556,997,0.276271,0.4821,0.930029,33371,1.006674,1.85881,0.779162,18380,1.684311,2.243176,0.590819,9607,3.580761,4.62565,0.483576,11051,7.157657,8.364767,0.255029,6313,1.621594,3.164776,0.733878,79719
environment_1/02725,0.152431,0.215932,0.997121,10766,0.40865,0.597201,0.856754,30828,1.566653,1.988007,0.483735,13311,4.165062,4.449577,0.114556,7516,6.315614,6.975772,0.114581,11145,10.932972,11.337152,0.007661,7179,2.666079,4.558625,0.566958,80745
environment_1/02726,5.224783,5.563407,0.0,606,0.273122,0.53497,0.963498,32163,0.564079,1.013453,0.881289,14590,1.228348,1.915914,0.746512,8387,2.670627,3.805725,0.605838,13908,5.589113,6.932391,0.368126,7856,1.438961,2.901901,0.792491,77510
environment_1/02727,1.775166,3.631763,0.20174,2414,0.109871,0.421133,0.970525,13910,0.545252,1.023311,0.860045,17177,0.967488,1.638283,0.838624,11656,2.16622,3.169418,0.695909,18090,4.330816,5.798637,0.519276,9442,1.465626,2.831499,0.770777,72689
environment_1/02728,,,,0,0.442388,1.260245,0.889811,12052,0.436167,1.01006,0.922072,19056,0.652991,1.173174,0.891168,12726,2.122589,2.947752,0.650644,20117,4.861906,6.162798,0.435909,8527,1.464042,2.766609,0.778747,72478
environment_1/02729,1.995165,1.99518,0.0,4,0.643723,1.09754,0.842962,16149,1.094067,1.952413,0.795639,21369,1.759208,2.258272,0.56522,14842,3.609021,4.425647,0.382101,17163,8.087028,8.967707,0.157329,6979,2.330193,3.746794,0.609887,76506
environment_1/02730,1.789871,1.863781,0.010526,95,1.943506,3.213396,0.515843,26605,1.276838,2.07056,0.686725,18779,2.51302,3.165254,0.408716,11886,5.018189,5.93853,0.27188,14157,9.511991,10.419018,0.107738,5764,2.996586,4.549446,0.465142,77286
environment_1/02731,4.145088,4.931072,0.12602,16537,1.526593,2.630167,0.583393,15283,1.745837,2.633875,0.628038,17155,2.711904,3.565434,0.452353,14597,5.811316,7.092893,0.309809,12540,9.415547,10.47574,0.147131,4914,3.462538,4.946515,0.407092,81026
environment_1/02732,0.532878,0.545765,0.797317,671,1.144027,1.897255,0.587316,33837,1.494109,1.979299,0.614178,16645,2.427955,3.007453,0.483358,13069,4.337265,5.350788,0.328646,11094,10.458062,11.103822,0.020986,6433,2.581839,4.162184,0.49822,81749
environment_1/02733,0.504643,1.700512,0.751865,12465,1.018834,1.562484,0.687006,16061,1.723233,2.198409,0.564347,20133,2.363269,2.88673,0.444998,14245,4.478957,5.293626,0.258967,10260,10.730929,11.336521,0.009613,7282,2.673958,4.339121,0.507595,80446
environment_1/02734,2.233739,2.390283,0.0,172,0.999301,1.555994,0.629493,26623,1.237969,1.574625,0.542036,26275,2.943688,3.447183,0.309719,10474,5.783259,6.378698,0.145724,10664,9.55409,10.141131,0.053993,7112,2.70499,4.179273,0.444946,81320
environment_1/02735,0.560914,0.742878,0.416708,29949,1.600383,1.914652,0.291704,22228,3.185102,3.523721,0.108313,12547,5.674836,5.84262,0.002636,5691,9.234523,9.424603,0.0,7984,13.619943,13.825589,0.0,5470,3.253414,5.12493,0.242497,83869
